iter	Passed	Remaining
801	1537	379
802	1540	377
803	1542	375
804	1544	374
805	1546	372
806	1547	370
807	1549	368
808	1552	366
809	1554	364
810	1556	362
811	1558	360
812	1559	358
813	1561	356
814	1562	354
815	1563	352
816	1564	350
817	1566	348
818	1567	346
819	1569	344
820	1570	342
821	1572	340
822	1573	338
823	1575	336
824	1577	334
825	1578	332
826	1581	330
827	1583	329
828	1585	327
829	1587	325
830	1588	323
831	1590	321
832	1591	319
833	1593	317
834	1594	315
835	1597	313
836	1599	311
837	1600	309
838	1601	307
839	1603	305
840	1604	303
841	1606	301
842	1607	299
843	1609	297
844	1610	295
845	1612	293
846	1613	291
847	1615	289
848	1616	287
849	1618	285
850	1619	283
851	1621	281
852	1622	279
853	1624	277
854	1627	276
855	1630	274
856	1632	272
857	1634	270
858	1636	268
859	1638	266
860	1639	264
861	1642	263
862	1646	261
863	1648	259
864	1650	257
865	1652	255
866	1654	253
867	1656	251
868	1660	250
869	1663	248
870	1665	246
871	1667	244
872	1669	242
873	1671	240
874	1674	239
875	1676	237
876	1678	235
877	1680	233
878	1682	231
879	1683	229
880	1685	227
881	1688	225
882	1691	224
883	1694	222
884	1697	220
885	1699	218
886	1702	216
887	1705	215
888	1708	213
889	1710	211
890	1712	209
891	1714	207
892	1719	205
893	1720	204
894	1721	202
895	1723	200
896	1724	198
897	1725	196
898	1727	194
899	1730	192
900	1733	190
901	1736	188
902	1740	186
903	1742	185
904	1745	183
905	1750	181
906	1752	179
907	1754	177
908	1755	175
909	1756	173
910	1757	171
911	1759	169
912	1761	167
913	1765	166
914	1766	164
915	1768	162
916	1769	160
917	1770	158
918	1771	156
919	1774	154
920	1775	152
921	1778	150
922	1780	148
923	1781	146
924	1783	144
925	1785	142
926	1787	140
927	1789	138
928	1791	136
929	1793	135
930	1796	133
931	1798	131
932	1800	129
933	1803	127
934	1804	125
935	1807	123
936	1810	121
937	1816	120
938	1819	118
939	1826	116
940	1828	114
941	1829	112
942	1831	110
943	1832	108
944	1833	106
945	1835	104
946	1839	102
947	1841	100
948	1842	99
949	1843	97
950	1846	95
951	1848	93
952	1849	91
953	1851	89
954	1858	87
955	1859	85
956	1861	83
957	1862	81
958	1863	79
959	1865	77
960	1867	75
961	1869	73
962	1871	71
963	1873	69
964	1874	67
965	1876	66
966	1877	64
967	1879	62
968	1880	60
969	1884	58
970	1887	56
971	1888	54
972	1890	52
973	1892	50
974	1893	48
975	1894	46
976	1895	44
977	1896	42
978	1899	40
979	1900	38
980	1902	36
981	1903	34
982	1904	32
983	1905	30
984	1906	29
985	1907	27
986	1908	25
987	1909	23
988	1910	21
989	1911	19
990	1914	17
991	1915	15
992	1917	13
993	1918	11
994	1919	9
995	1920	7
996	1921	5
997	1922	3
998	1924	1
999	1925	0
